name,amenity,tourism,historic,historic:civilization,name:en,name:mk,religion,WKT
,place_of_worship,,,,,,christian,POINT (21.9839465 40.9908333)
Ι. Μ. Αγ. Ιλαρίωνα,place_of_worship,,,,,,christian,POINT (22.0192819 41.0264259)
,,,memorial,,,,,POINT (22.3338998 40.955933)
Προφήτης Ηλίας,place_of_worship,,,,,,christian,POINT (22.3829974 40.9774)
Ι. Μ. Αγ. Ραφαήλ,place_of_worship,,monastery,,,,christian,POINT (22.400699 40.9468791)
Ιερό Κοινόβιο Οσίου Νικοδήμου του Αγιορείτου,place_of_worship,,monastery,,,,christian,POINT (22.3908323 40.9369961)
Δημοτική βιβλιοθήκη Πολυκάστρου Δημήτριος Ε. Οικονόμου,library,,,,,Библиотека „Димитриос Иконому“,,POINT (22.5478187 40.9878986)
,,,wayside_shrine,,,,,POINT (21.9110875 40.9730418)
Ενθύμιο Γάλλων στρατιωτών,,,monument,,,,,POINT (22.4498767 40.9458535)
Александар Македонски,,,monument,,,,,POINT (21.5524989 41.3460556)
Методија Андонов-Ченто,,,monument,,,,,POINT (21.5528281 41.3462544)
Св. Никола,,,monument,,,,,POINT (21.553243 41.3462194)
Масакр кај Пуста Кула,,,memorial,,,,,POINT (21.7360635 41.822914)
Карпалак 2001,,,monument,,,,,POINT (21.5479723 41.3434323)
Крипта,,,monument,,Cript,,,POINT (21.554646 41.3341123)
Кръст,,,wayside_cross,,,,,POINT (22.9509413 42.1750662)
Αγ. Πέτρος,place_of_worship,,,,,,christian,POINT (22.5010228 40.9509625)
Итар Пејо,,,monument,,Sly Peter,,,POINT (21.5548417 41.345456)
,,,,,,,,POINT (21.420091 41.9995605)
Dedo Jakim - Mill,,,monument,,,Воденицата на Дедо Јаким,,POINT (22.8187714 41.975162)
Ilin Kamen,,,monument,,,Илин Камен,,POINT (22.8193451 41.9769054)
Гоце Делчев (Биста),,,monument,,Goce Delchev,,,POINT (22.7768724 41.9668611)
Гоце Делчев,,,monument,,Goce Delchev,,,POINT (22.7742882 41.9643843)
Споменик на паднати борци во НОБ,,,monument,,,,,POINT (22.7716387 41.9653801)
Музеј на град Делчево,,museum,,,City Museum,,,POINT (22.7729986 41.9664768)
Градска Библиотека Илинден,library,,,,City Library Ilinden,,,POINT (22.772984 41.9663875)
,,,monument,,,,,POINT (22.772844 41.9661617)
Кула,,,monument,,Kula,,,POINT (22.7954411 41.9425359)
Josip Broz Tito,,artwork,memorial,,,,,POINT (21.426153 41.9952169)
,,,,,,,,POINT (21.256478 42.2353908)
,,,,,,,,POINT (21.2560286 42.2353944)
Γέννηση της Θεοτόκου,place_of_worship,,,,Gennisi tis Theotokou,Рождество на Пресв. Богородица,christian,POINT (22.51136 41.1215265)
UÇK,,,memorial,,Xhevat Berisha,,,POINT (20.7403916 42.2092811)
ΜΝΗΜΕΙΟ ΠΕΣΟΝΤΩΝ ΚΑΤΑΔΡΟΜΕΩΝ,,,memorial,,,,,POINT (21.8147391 40.9088516)
Маркови Кули,,,ruins,byzantine,Markovi Kuli,Маркови Кули,,POINT (21.4313461 41.9682709)
Леонид Јанков,,,monument,,,,,POINT (22.5093733 41.139367)
Г177,,,boundary_stone,,,,,POINT (21.1211491 40.8536596)
Г176,,,boundary_stone,,,,,POINT (21.1255774 40.8545802)
Г175-2,,,boundary_stone,,,,,POINT (21.1306578 40.8554344)
Г175-1,,,boundary_stone,,,,,POINT (21.1326005 40.854785)
Св. Кирил и Методиј,,artwork,memorial,,Saints Cyril and Methodius,,,POINT (21.4339766 41.9977079)
Св. Климент Охридски и Наум Охридски Чудотворец,,artwork,memorial,,Saints Clement of Ohrid and Naum,,,POINT (21.4341509 41.9975624)
,,,,,,,,POINT (21.4200476 41.9994201)
Германска читалница,library,,,,,,,POINT (21.4393671 41.9981313)
Американско катче Македонија,library,,,,American Corner Macedonia,,,POINT (21.4397823 41.9980573)
,,,,,,,,POINT (21.4397755 41.9981154)
,,,,,,,,POINT (21.4394495 41.998149)
Цар Самоил,,artwork,memorial,,Tsar Samuel,,,POINT (21.4313414 41.9953917)
,,,monument,,,,,POINT (21.4329692 41.2251669)
Даме Груев,,artwork,memorial,,Dame Gruev,Даме Груев,,POINT (21.4321474 41.9964949)
Јустинијан I,,artwork,memorial,,Justinian I,,,POINT (21.4323054 41.9968799)
Олимпија,,artwork,memorial,,Olympias,,,POINT (21.4344182 41.9979046)
Галерија на икони,,gallery,,,Icon Gallery,,,POINT (20.7952385 41.1143378)
Прометеј,,,monument,,Prometheus,,,POINT (21.4337226 41.993303)
,,,ruins,,,,,POINT (21.4116211 41.9760971)
"Medieval Church ""St. St. Kozma and Damyan""",,attraction,ruins,medieval,,,,POINT (22.9099876 42.2258683)
,,,memorial,,,,,POINT (21.2243427 42.2541202)
Г59,,,boundary_stone,,,,,POINT (22.517412 41.1274807)
Тодор Александров,,,monument,,,,,POINT (21.439106 41.9834333)
Стара Рампа,,,monument,,,,,POINT (21.4369668 41.986749)
Бегова кула,,attraction,monument,,Bey's Tower,,,POINT (21.4317487 41.9936684)
Гоце Делчев,,,monument,,,,,POINT (22.7549207 41.4166941)
Борка Талески-Модерното / Лазо Филиповски-Лавски,,,memorial,,Borka Taleski / Lazo Filipovski,,,POINT (21.6749495 41.3661079)
Nr.18,,,boundary_stone,,,,,POINT (20.6098614 41.9914202)
Свети Наум,,,memorial,,,Свети Наум,,POINT (20.7412554 40.9142149)
,,,monument,,,,,POINT (22.1901029 41.7364573)
Споменик на загинатите евреи,,,monument,,,,,POINT (22.1903758 41.736405)
Мустафа-пашина џамија,,,monument,,Murat Pasha Mosque,,,POINT (21.4375046 42.000853)
Vila Varvarka,,,castle,,Vila Varvarka,Vila Varvarka,,POINT (21.4333848 41.9130467)
Споменик на Јуриј Гагарин,,,monument,,Yuri Gagarin Monument,,,POINT (21.4108745 41.9949279)
,,,monument,,,,,POINT (22.8536883 42.2562007)
Никола Карев,,,monument,,,,,POINT (21.4332009 41.9930188)
